game_turn,player_name,num_cities,population,techs,civics,land_units,corps,armies,naval_units,tiles_owned,tiles_improved,balance_gold,balance_faith,yield_science,yield_culture,yield_gold,yield_faith,yield_production,yield_food,data_source,loaded_at
9,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,7,0,50,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,7,0,58,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,8,0,58,0,2,2,6,0,3,6,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,58,0,2,1,6,0,7,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,58,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,8,0,77,0,3,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,50,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_SAMARKAND,1,1,0,0,2,0,0,0,7,0,50,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_PRESLAV,1,1,1,0,2,0,0,0,7,0,50,0,3,1,5,0,2,3,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_JOHANNESBURG,1,1,0,0,2,0,0,0,7,0,50,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_MEXICO_CITY,1,2,0,0,2,0,0,0,7,0,50,0,3,1,5,0,2,8,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_LAHORE,1,1,0,0,2,0,0,0,7,1,50,0,2,2,5,0,3,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_PALENQUE,1,1,0,0,2,0,0,0,8,0,53,0,2,1,6,0,2,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_ANTIOCH,1,1,0,0,2,0,0,0,7,0,50,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_FEZ,1,1,0,0,2,0,0,0,7,0,50,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
9,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,8,0,55,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,8,0,64,0,2,2,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,8,0,64,0,2,2,6,0,3,6,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_GERMANY,1,2,0,0,1,0,0,0,8,0,64,0,3,1,6,0,7,7,player_stats,2025-08-03 19:13:55.339088
10,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,8,1,66,0,2,1,8,0,4,4,player_stats,2025-08-03 19:13:55.339088
